Domain,Level,ID,Short Name,Requirement,References
ACCESS CONTROL (AC),1,AC.L1-b.1.i,Authorized Access Control [FCI Data],"Limit information system access to authorized users, processes acting on behalf of authorized users, or devices (including other information systems).",FAR Clause 52.204-21 b.1.i; NIST SP 800-171 Rev 2 3.1.1
ACCESS CONTROL (AC),1,AC.L1-b.1.ii,Transaction & Function Control [FCI Data],Limit information system access to the types of transactions and functions that authorized users are permitted to execute.,FAR Clause 52.204-21 b.1.ii; NIST SP 800-171 Rev 2 3.1.2
ACCESS CONTROL (AC),1,AC.L1-b.1.iii,External Connections [FCI Data],Verify and control/limit connections to and use of external information systems.,FAR Clause 52.204-21 b.1.iii; NIST SP 800-171 Rev 2 3.1.20
ACCESS CONTROL (AC),1,AC.L1-b.1.iv,Control Public Information [FCI Data],Control information posted or processed on publicly accessible information systems.,FAR Clause 52.204-21 b.1.iv; NIST SP 800-171 Rev 2 3.1.22
ACCESS CONTROL (AC),2,AC.L2-3.1.1,Authorized Access Control [CUI Data],"Limit system access to authorized users, processes acting on behalf of authorized users, and devices (including other systems).",NIST SP 800-171 Rev 2 3.1.1; FAR Clause 52.204-21 b.1.i
ACCESS CONTROL (AC),2,AC.L2-3.1.10,Session Lock,Use session lock with pattern-hiding displays to prevent access and viewing of data after a period of inactivity.,NIST SP 800-171 Rev 2 3.1.10
ACCESS CONTROL (AC),2,AC.L2-3.1.11,Session Termination,Terminate (automatically) a user session after a defined condition.,NIST SP 800-171 Rev 2 3.1.11
ACCESS CONTROL (AC),2,AC.L2-3.1.12,Control Remote Access,Monitor and control remote access sessions.,NIST SP 800-171 Rev 2 3.1.12
ACCESS CONTROL (AC),2,AC.L2-3.1.13,Remote Access Confidentiality,Employ cryptographic mechanisms to protect the confidentiality of remote access sessions.,NIST SP 800-171 Rev 2 3.1.13
ACCESS CONTROL (AC),2,AC.L2-3.1.14,Remote Access Routing,Route remote access via managed access control points.,NIST SP 800-171 Rev 2 3.1.14
ACCESS CONTROL (AC),2,AC.L2-3.1.15,Privileged Remote Access,Authorize remote execution of privileged commands and remote access to security-relevant information.,NIST SP 800-171 Rev 2 3.1.15
ACCESS CONTROL (AC),2,AC.L2-3.1.16,Wireless Access Authorization,Authorize wireless access prior to allowing such connections.,NIST SP 800-171 Rev 2 3.1.16
ACCESS CONTROL (AC),2,AC.L2-3.1.17,Wireless Access Protection,Protect wireless access using authentication and encryption.,NIST SP 800-171 Rev 2 3.1.17
ACCESS CONTROL (AC),2,AC.L2-3.1.18,Mobile Device Connection,Control connection of mobile devices.,NIST SP 800-171 Rev 2 3.1.18
ACCESS CONTROL (AC),2,AC.L2-3.1.19,Encrypt CUI on Mobile,Encrypt CUI on mobile devices and mobile computing platforms.,NIST SP 800-171 Rev 2 3.1.19
ACCESS CONTROL (AC),2,AC.L2-3.1.2,Transaction & Function Control [CUI Data],Limit system access to the types of transactions and functions that authorized users are permitted to execute.,NIST SP 800-171 Rev 2 3.1.2; FAR Clause 52.204-21 b.1.ii
ACCESS CONTROL (AC),2,AC.L2-3.1.20,External Connections [CUI Data],Verify and control/limit connections to and use of external systems.,NIST SP 800-171 Rev 2 3.1.20; FAR Clause 52.204-21 b.1.iii
ACCESS CONTROL (AC),2,AC.L2-3.1.21,Portable Storage Use,Limit use of portable storage devices on external systems.,NIST SP 800-171 Rev 2 3.1.21
ACCESS CONTROL (AC),2,AC.L2-3.1.22,Control Public Information [CUI Data],Control CUI posted or processed on publicly accessible systems.,NIST SP 800-171 Rev 2 3.1.22; FAR Clause 52.204-21 b.1.iv
ACCESS CONTROL (AC),2,AC.L2-3.1.3,Control CUI Flow,Control the flow of CUI in accordance with approved authorizations.,NIST SP 800-171 Rev 2 3.1.3
ACCESS CONTROL (AC),2,AC.L2-3.1.4,Separation of Duties,Separate the duties of individuals to reduce the risk of malevolent activity without collusion.,NIST SP 800-171 Rev 2 3.1.4
ACCESS CONTROL (AC),2,AC.L2-3.1.5,Least Privilege,"Employ the principle of least privilege, including for specific security functions and privileged accounts.",NIST SP 800-171 Rev 2 3.1.5
ACCESS CONTROL (AC),2,AC.L2-3.1.6,Non-Privileged Account Use,Use non-privileged accounts or roles when accessing nonsecurity functions.,NIST SP 800-171 Rev 2 3.1.6
ACCESS CONTROL (AC),2,AC.L2-3.1.7,Privileged Functions,Prevent non-privileged users from executing privileged functions and capture the execution of such functions in audit logs.,NIST SP 800-171 Rev 2 3.1.7
ACCESS CONTROL (AC),2,AC.L2-3.1.8,Unsuccessful Logon Attempts,Limit unsuccessful logon attempts.,NIST SP 800-171 Rev 2 3.1.8
ACCESS CONTROL (AC),2,AC.L2-3.1.9,Privacy & Security Notices,Provide privacy and security notices consistent with applicable CUI rules.,NIST SP 800-171 Rev 2 3.1.9
ACCESS CONTROL (AC),3,AC.L3-3.1.2e,Organizationally Controlled Assets,"Restrict access to systems and system components to only those information resources that are owned, provisioned, or issued by the organization.",NIST SP 800-172 3.1.2e
ACCESS CONTROL (AC),3,AC.L3-3.1.3e,Secured Information Transfer,Employ secure information transfer solutions to control information flows between security domains on connected systems.,NIST SP 800-172 3.1.3e
AWARENESS AND TRAINING (AT),2,AT.L2-3.2.1,Role-Based Risk Awareness,"Inform managers, systems administrators, and users of organizational systems of the security risks associated with their activities and of the applicable policies, standards, and procedures related to the security of those systems.",NIST SP 800-171 Rev 2 3.2.1
AWARENESS AND TRAINING (AT),2,AT.L2-3.2.2,Role-Based Training,Train personnel to carry out their assigned information security-related duties and responsibilities.,NIST SP 800-171 Rev 2 3.2.2
AWARENESS AND TRAINING (AT),2,AT.L2-3.2.3,Insider Threat Awareness,Provide security awareness training on recognizing and reporting potential indicators of insider threat.,NIST SP 800-171 Rev 2 3.2.3
AWARENESS AND TRAINING (AT),3,AT.L3-3.2.1e,Advanced Threat Awareness,"Provide awareness training upon initial hire, following a significant cyber event, and at least annually, focused on recognizing and responding to threats from social engineering, advanced persistent threat actors, breaches, and suspicious behaviors; update the training at least annually or when there are significant changes to the threat.",NIST SP 800-172 3.2.1e
AWARENESS AND TRAINING (AT),3,AT.L3-3.2.2e,Practical Training Exercises,"Include practical exercises in awareness training for all users, tailored by roles, to include general users, users with specialized roles, and privileged users, that are aligned with current threat scenarios and provide feedback to individuals involved in the training and their supervisors.",NIST SP 800-172 3.2.2e
AUDIT AND ACCOUNTABILITY (AU),2,AU.L2-3.3.1,System Auditing,"Create and retain system audit logs and records to the extent needed to enable the monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity.",NIST SP 800-171 Rev 2 3.3.1
AUDIT AND ACCOUNTABILITY (AU),2,AU.L2-3.3.2,User Accountability,"Uniquely track the actions of individual system users, so they can be held accountable for their actions.",NIST SP 800-171 Rev 2 3.3.2
AUDIT AND ACCOUNTABILITY (AU),2,AU.L2-3.3.3,Event Review,Review and update logged events.,NIST SP 800-171 Rev 2 3.3.3
AUDIT AND ACCOUNTABILITY (AU),2,AU.L2-3.3.4,Audit Failure Alerting,Alert in the event of an audit logging process failure.,NIST SP 800-171 Rev 2 3.3.4
AUDIT AND ACCOUNTABILITY (AU),2,AU.L2-3.3.5,Audit Correlation,"Correlate audit record review, analysis, and reporting processes for investigation and response to indications of unlawful, unauthorized, suspicious, or unusual activity.",NIST SP 800-171 Rev 2 3.3.5
AUDIT AND ACCOUNTABILITY (AU),2,AU.L2-3.3.6,Reduction & Reporting,Provide audit record reduction and report generation to support on-demand analysis and reporting.,NIST SP 800-171 Rev 2 3.3.6
AUDIT AND ACCOUNTABILITY (AU),2,AU.L2-3.3.7,Authoritative Time Source,Provide a system capability that compares and synchronizes internal system clocks with an authoritative source to generate time stamps for audit records.,NIST SP 800-171 Rev 2 3.3.7
AUDIT AND ACCOUNTABILITY (AU),2,AU.L2-3.3.8,Audit Protection,"Protect audit information and audit logging tools from unauthorized access, modification, and deletion.",NIST SP 800-171 Rev 2 3.3.8
AUDIT AND ACCOUNTABILITY (AU),2,AU.L2-3.3.9,Audit Management,Limit management of audit logging functionality to a subset of privileged users.,NIST SP 800-171 Rev 2 3.3.9
SECURITY ASSESSMENT (CA),2,CA.L2-3.12.1,Security Control Assessment,Periodically assess the security controls in organizational systems to determine if the controls are effective in their application.,NIST SP 800-171 Rev 2 3.12.1
SECURITY ASSESSMENT (CA),2,CA.L2-3.12.2,Operational Plan of Action,Develop and implement plans of action designed to correct deficiencies and reduce or eliminate vulnerabilities in organizational systems.,NIST SP 800-171 Rev 2 3.12.2
SECURITY ASSESSMENT (CA),2,CA.L2-3.12.3,Security Control Monitoring,Monitor security controls on an ongoing basis to determine the continued effectiveness of the controls.,NIST SP 800-171 Rev 2 3.12.3
SECURITY ASSESSMENT (CA),2,CA.L2-3.12.4,System Security Plan,"Develop, document, and periodically update system security plans that describe system boundaries, system environments of operation, how security requirements are implemented, and the relationships with or connections to other systems.",NIST SP 800-171 Rev 2 3.12.4
SECURITY ASSESSMENT (CA),3,CA.L3-3.12.1e,Penetration Testing,"Conduct penetration testing at least annually or when significant security changes are made to the system, leveraging automated scanning tools and ad hoc tests using subject matter experts.",NIST SP 800-172 3.12.1e
CONFIGURATION MANAGEMENT (CM),2,CM.L2-3.4.1,System Baselining,"Establish and maintain baseline configurations and inventories of organizational systems (including hardware, software, firmware, and documentation) throughout the respective system development life cycles.",NIST SP 800-171 Rev 2 3.4.1
CONFIGURATION MANAGEMENT (CM),2,CM.L2-3.4.2,Security Configuration Enforcement,Establish and enforce security configuration settings for information technology products employed in organizational systems.,NIST SP 800-171 Rev 2 3.4.2
CONFIGURATION MANAGEMENT (CM),2,CM.L2-3.4.3,System Change Management,"Track, review, approve or disapprove, and log changes to organizational systems.",NIST SP 800-171 Rev 2 3.4.3
CONFIGURATION MANAGEMENT (CM),2,CM.L2-3.4.4,Security Impact Analysis,Analyze the security impact of changes prior to implementation.,NIST SP 800-171 Rev 2 3.4.4
CONFIGURATION MANAGEMENT (CM),2,CM.L2-3.4.5,Access Restrictions for Change,"Define, document, approve, and enforce physical and logical access restrictions associated with changes to organizational systems.",NIST SP 800-171 Rev 2 3.4.5
CONFIGURATION MANAGEMENT (CM),2,CM.L2-3.4.6,Least Functionality,Employ the principle of least functionality by configuring organizational systems to provide only essential capabilities.,NIST SP 800-171 Rev 2 3.4.6
CONFIGURATION MANAGEMENT (CM),2,CM.L2-3.4.7,Nonessential Functionality,"Restrict, disable, or prevent the use of nonessential programs, functions, ports, protocols, and services.",NIST SP 800-171 Rev 2 3.4.7
CONFIGURATION MANAGEMENT (CM),2,CM.L2-3.4.8,Application Execution Policy,"Apply deny-by-exception (blacklisting) policy to prevent the use of unauthorized software or deny-all, permit-by-exception (whitelisting) policy to allow the execution of authorized software.",NIST SP 800-171 Rev 2 3.4.8
CONFIGURATION MANAGEMENT (CM),2,CM.L2-3.4.9,User-Installed Software,Control and monitor user-installed software.,NIST SP 800-171 Rev 2 3.4.9
CONFIGURATION MANAGEMENT (CM),3,CM.L3-3.4.1e,Authoritative Repository,Establish and maintain an authoritative source and repository to provide a trusted source and accountability for approved and implemented system components.,NIST SP 800-172 3.4.1e
CONFIGURATION MANAGEMENT (CM),3,CM.L3-3.4.2e,Automated Detection & Remediation,"Employ automated mechanisms to detect misconfigured or unauthorized system components; after detection, remove the components or place the components in a quarantine or remediation network to facilitate patching, re-configuration, or other mitigations.",NIST SP 800-172 3.4.2e
CONFIGURATION MANAGEMENT (CM),3,CM.L3-3.4.3e,Automated Inventory,"Employ automated discovery and management tools to maintain an up-to-date, complete, accurate, and readily available inventory of system components.",NIST SP 800-172 3.4.3e
IDENTIFICATION AND AUTHENTICATION (IA),1,IA.L1-b.1.v,Identification [FCI Data],"Identify information system users, processes acting on behalf of users, or devices.",FAR Clause 52.204-21 b.1.v; NIST SP 800-171 Rev 2 3.5.1
IDENTIFICATION AND AUTHENTICATION (IA),1,IA.L1-b.1.vi,Authentication [FCI Data],"Authenticate (or verify) the identities of those users, processes, or devices, as a prerequisite to allowing access to organizational information systems.",FAR Clause 52.204-21 b.1.vi; NIST SP 800-171 Rev 2 3.5.2
IDENTIFICATION AND AUTHENTICATION (IA),2,IA.L2-3.5.1,Identification [CUI Data],"Identify system users, processes acting on behalf of users, and devices.",NIST SP 800-171 Rev 2 3.5.1; FAR Clause 52.204-21 b.1.v
IDENTIFICATION AND AUTHENTICATION (IA),2,IA.L2-3.5.10,Cryptographically-Protected Passwords,Store and transmit only cryptographically protected passwords.,NIST SP 800-171 Rev 2 3.5.10
IDENTIFICATION AND AUTHENTICATION (IA),2,IA.L2-3.5.11,Obscure Feedback,Obscure feedback of authentication information.,NIST SP 800-171 Rev 2 3.5.11
IDENTIFICATION AND AUTHENTICATION (IA),2,IA.L2-3.5.2,Authentication [CUI Data],"Authenticate (or verify) the identities of users, processes, or devices, as a prerequisite to allowing access to organizational systems.",NIST SP 800-171 Rev 2 3.5.2; FAR Clause 52.204-21 b.1.vi
IDENTIFICATION AND AUTHENTICATION (IA),2,IA.L2-3.5.3,Multifactor Authentication,Use multifactor authentication for local and network access to privileged accounts and for network access to non-privileged accounts.,NIST SP 800-171 Rev 2 3.5.3
IDENTIFICATION AND AUTHENTICATION (IA),2,IA.L2-3.5.4,Replay-Resistant Authentication,Employ replay-resistant authentication mechanisms for network access to privileged and non-privileged accounts.,NIST SP 800-171 Rev 2 3.5.4
IDENTIFICATION AND AUTHENTICATION (IA),2,IA.L2-3.5.5,Identifier Reuse,Prevent reuse of identifiers for a defined period.,NIST SP 800-171 Rev 2 3.5.5
IDENTIFICATION AND AUTHENTICATION (IA),2,IA.L2-3.5.6,Identifier Handling,Disable identifiers after a defined period of inactivity.,NIST SP 800-171 Rev 2 3.5.6
IDENTIFICATION AND AUTHENTICATION (IA),2,IA.L2-3.5.7,Password Complexity,Enforce a minimum password complexity and change of characters when new passwords are created.,NIST SP 800-171 Rev 2 3.5.7
IDENTIFICATION AND AUTHENTICATION (IA),2,IA.L2-3.5.8,Password Reuse,Prohibit password reuse for a specified number of generations.,NIST SP 800-171 Rev 2 3.5.8
IDENTIFICATION AND AUTHENTICATION (IA),2,IA.L2-3.5.9,Temporary Passwords,Allow temporary password use for system logons with an immediate change to a permanent password.,NIST SP 800-171 Rev 2 3.5.9
IDENTIFICATION AND AUTHENTICATION (IA),3,IA.L3-3.5.1e,Bidirectional Authentication,"Identify and authenticate systems and system components, where possible, before establishing a network connection using bidirectional authentication that is cryptographically based and replay resistant.",NIST SP 800-172 3.5.1e
IDENTIFICATION AND AUTHENTICATION (IA),3,IA.L3-3.5.3e,Block Untrusted Assets,"Employ automated or manual/procedural mechanisms to prohibit system components from connecting to organizational systems unless the components are known, authenticated, in a properly configured state, or in a trust profile.",NIST SP 800-172 3.5.3e
INCIDENT RESPONSE (IR),2,IR.L2-3.6.1,Incident Handling,"Establish an operational incident-handling capability for organizational systems that includes preparation, detection, analysis, containment, recovery, and user response activities.",NIST SP 800-171 Rev 2 3.6.1
INCIDENT RESPONSE (IR),2,IR.L2-3.6.2,Incident Reporting,"Track, document, and report incidents to designated officials and/or authorities both internal and external to the organization.",NIST SP 800-171 Rev 2 3.6.2
INCIDENT RESPONSE (IR),2,IR.L2-3.6.3,Incident Response Testing,Test the organizational incident response capability.,NIST SP 800-171 Rev 2 3.6.3
