Domain,Level,ID,Short Name,Requirement,References
INCIDENT RESPONSE (IR),3,IR.L3-3.6.1e,Security Operations Center,"Establish and maintain a security operations center capability that operates 24/7, with allowance for remote/on-call staff.",NIST SP 800-172 3.6.1e
INCIDENT RESPONSE (IR),3,IR.L3-3.6.2e,Cyber Incident Response Team,Establish and maintain a cyber incident response team that can be deployed by the organization within 24 hours.,NIST SP 800-172 3.6.2e
MAINTENANCE (MA),2,MA.L2-3.7.1,Perform Maintenance,Perform maintenance on organizational systems.,NIST SP 800-171 Rev 2 3.7.1
MAINTENANCE (MA),2,MA.L2-3.7.2,System Maintenance Control,"Provide controls on the tools, techniques, mechanisms, and personnel used to conduct system maintenance.",NIST SP 800-171 Rev 2 3.7.2
MAINTENANCE (MA),2,MA.L2-3.7.3,Equipment Sanitization,Sanitize equipment removed for off-site maintenance of any CUI.,NIST SP 800-171 Rev 2 3.7.3
MAINTENANCE (MA),2,MA.L2-3.7.4,Media Inspection,Check media containing diagnostic and test programs for malicious code before the media are used in organizational systems.,NIST SP 800-171 Rev 2 3.7.4
MAINTENANCE (MA),2,MA.L2-3.7.5,Nonlocal Maintenance,Require multifactor authentication to establish nonlocal maintenance sessions via external network connections and terminate such connections when nonlocal maintenance is complete.,NIST SP 800-171 Rev 2 3.7.5
MAINTENANCE (MA),2,MA.L2-3.7.6,Maintenance Personnel,Supervise the maintenance activities of maintenance personnel without required access authorization.,NIST SP 800-171 Rev 2 3.7.6
MEDIA PROTECTION (MP),1,MP.L1-b.1.vii,Media Disposal [FCI Data],Sanitize or destroy information system media containing Federal Contract Information before disposal or release for reuse.,FAR Clause 52.204-21 b.1.vii; NIST SP 800-171 Rev 2 3.8.3
MEDIA PROTECTION (MP),2,MP.L2-3.8.1,Media Protection,"Protect (i.e., physically control and securely store) system media containing CUI, both paper and digital.",NIST SP 800-171 Rev 2 3.8.1
MEDIA PROTECTION (MP),2,MP.L2-3.8.2,Media Access,Limit access to CUI on system media to authorized users.,NIST SP 800-171 Rev 2 3.8.2
MEDIA PROTECTION (MP),2,MP.L2-3.8.3,Media Disposal [CUI Data],Sanitize or destroy system media containing CUI before disposal or release for reuse.,NIST SP 800-171 Rev 2 3.8.3; FAR Clause 52.204-21 b.1.vii
MEDIA PROTECTION (MP),2,MP.L2-3.8.4,Media Markings,Mark media with necessary CUI markings and distribution limitations.,NIST SP 800-171 Rev 2 3.8.4
MEDIA PROTECTION (MP),2,MP.L2-3.8.5,Media Accountability,Control access to media containing CUI and maintain accountability for media during transport outside of controlled areas.,NIST SP 800-171 Rev 2 3.8.5
MEDIA PROTECTION (MP),2,MP.L2-3.8.6,Portable Storage Encryption,Implement cryptographic mechanisms to protect the confidentiality of CUI stored on digital media during transport unless otherwise protected by alternative physical safeguards.,NIST SP 800-171 Rev 2 3.8.6
MEDIA PROTECTION (MP),2,MP.L2-3.8.7,Removable Media,Control the use of removable media on system components.,NIST SP 800-171 Rev 2 3.8.7
MEDIA PROTECTION (MP),2,MP.L2-3.8.8,Shared Media,Prohibit the use of portable storage devices when such devices have no identifiable owner.,NIST SP 800-171 Rev 2 3.8.8
MEDIA PROTECTION (MP),2,MP.L2-3.8.9,Protect Backups,Protect the confidentiality of backup CUI at storage locations.,NIST SP 800-171 Rev 2 3.8.9
PHYSICAL PROTECTION (PE),1,PE.L1-b.1.ix,Manage Visitors & Physical Access [FCI Data],Escort visitors and monitor visitor activity; maintain audit logs of physical access; and control and manage physical access devices.,FAR Clause 52.204-21 Partial b.1.ix; NIST SP 800-171 Rev 2 3.10.3; NIST SP 800-171 Rev 2 3.10.4; NIST SP 800-171 Rev 2 3.10.5
PHYSICAL PROTECTION (PE),1,PE.L1-b.1.viii,Limit Physical Access [FCI Data],"Limit physical access to organizational information systems, equipment, and the respective operating environments to authorized individuals.",FAR Clause 52.204-21 b.1.viii; NIST SP 800-171 Rev 2 3.10.1
PHYSICAL PROTECTION (PE),2,PE.L2-3.10.1,Limit Physical Access [CUI Data],"Limit physical access to organizational systems, equipment, and the respective operating environments to authorized individuals.",NIST SP 800-171 Rev 2 3.10.1; FAR Clause 52.204-21 b.1.viii
PHYSICAL PROTECTION (PE),2,PE.L2-3.10.2,Monitor Facility,Protect and monitor the physical facility and support infrastructure for organizational systems.,NIST SP 800-171 Rev 2 3.10.2
PHYSICAL PROTECTION (PE),2,PE.L2-3.10.3,Escort Visitors [CUI Data],Escort visitors and monitor visitor activity.,NIST SP 800-171 Rev 2 3.10.3; FAR Clause 52.204-21 Partial b.1.ix
PHYSICAL PROTECTION (PE),2,PE.L2-3.10.4,Physical Access Logs [CUI Data],Maintain audit logs of physical access.,NIST SP 800-171 Rev 2 3.10.4; FAR Clause 52.204-21 Partial b.1.ix
PHYSICAL PROTECTION (PE),2,PE.L2-3.10.5,Manage Physical Access [CUI Data],Control and manage physical access devices.,NIST SP 800-171 Rev 2 3.10.5; FAR Clause 52.204-21 Partial b.1.ix
PHYSICAL PROTECTION (PE),2,PE.L2-3.10.6,Alternative Work Sites,Enforce safeguarding measures for CUI at alternate work sites.,NIST SP 800-171 Rev 2 3.10.6
PERSONNEL SECURITY (PS),2,PS.L2-3.9.1,Screen Individuals,Screen individuals prior to authorizing access to organizational systems containing CUI.,NIST SP 800-171 Rev 2 3.9.1
PERSONNEL SECURITY (PS),2,PS.L2-3.9.2,Personnel Actions,Protect organizational systems containing CUI during and after personnel actions such as terminations and transfers.,NIST SP 800-171 Rev 2 3.9.2
PERSONNEL SECURITY (PS),3,PS.L3-3.9.2e,Adverse Information,Protect organizational systems when adverse information develops or is obtained about individuals with access to CUI.,NIST SP 800-172 3.9.2e
RISK ASSESSMENT (RA),2,RA.L2-3.11.1,Risk Assessments,"Periodically assess the risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals, resulting from the operation of organizational systems and the associated processing, storage, or transmission of CUI.",NIST SP 800-171 Rev 2 3.11.1
RISK ASSESSMENT (RA),2,RA.L2-3.11.2,Vulnerability Scan,Scan for vulnerabilities in organizational systems and applications periodically and when new vulnerabilities affecting those systems and applications are identified.,NIST SP 800-171 Rev 2 3.11.2
RISK ASSESSMENT (RA),2,RA.L2-3.11.3,Vulnerability Remediation,Remediate vulnerabilities in accordance with risk assessments.,NIST SP 800-171 Rev 2 3.11.3
RISK ASSESSMENT (RA),3,RA.L3-3.11.1e,Threat-Informed Risk Assessment,"Employ threat intelligence, at a minimum from open or commercial sources, and any DoD-provided sources, as part of a risk assessment to guide and inform the development of organizational systems, security architectures, selection of security solutions, monitoring, threat hunting, and response and recovery activities.",NIST SP 800-172 3.11.1e
RISK ASSESSMENT (RA),3,RA.L3-3.11.2e,Threat Hunting,"Conduct cyber threat hunting activities on an on-going aperiodic basis or when indications warrant, to search for indicators of compromise in organizational systems and detect, track, and disrupt threats that evade existing controls.",NIST SP 800-172 3.11.2e
RISK ASSESSMENT (RA),3,RA.L3-3.11.3e,Advanced Risk Identification,"Employ advanced automation and analytics capabilities in support of analysts to predict and identify risks to organizations, systems, and system components.",NIST SP 800-172 3.11.3e
RISK ASSESSMENT (RA),3,RA.L3-3.11.4e,Security Solution Rationale,"Document or reference in the system security plan the security solution selected, the rationale for the security solution, and the risk determination.",NIST SP 800-172 3.11.4e
RISK ASSESSMENT (RA),3,RA.L3-3.11.5e,Security Solution Effectiveness,"Assess the effectiveness of security solutions at least annually or upon receipt of relevant cyber threat information, or in response to a relevant cyber incident, to address anticipated risk to organizational systems and the organization based on current and accumulated threat intelligence.",NIST SP 800-172 3.11.5e
RISK ASSESSMENT (RA),3,RA.L3-3.11.6e,Supply Chain Risk Response,"Assess, respond to, and monitor supply chain risks associated with organizational systems and system components.",NIST SP 800-172 3.11.6e
RISK ASSESSMENT (RA),3,RA.L3-3.11.7e,Supply Chain Risk Plan,"Develop a plan for managing supply chain risks associated with organizational systems and system components; update the plan at least annually, and upon receipt of relevant cyber threat information, or in response to a relevant cyber incident.",NIST SP 800-172 3.11.7e
SYSTEM AND COMMUNICATIONS PROTECTION (SC),1,SC.L1-b.1.x,Boundary Protection [FCI Data],"Monitor, control, and protect organizational communications (i.e., information transmitted or received by organizational information systems) at the external boundaries and key internal boundaries of the information systems.",FAR Clause 52.204-21 b.1.x; NIST SP 800-171 Rev 2 3.13.1
SYSTEM AND COMMUNICATIONS PROTECTION (SC),1,SC.L1-b.1.xi,Public-Access System Separation [FCI Data],Implement subnetworks for publicly accessible system components that are physically or logically separated from internal networks.,FAR Clause 52.204-21 b.1.xi; NIST SP 800-171 Rev 2 3.13.5
SYSTEM AND COMMUNICATIONS PROTECTION (SC),2,SC.L2-3.13.1,Boundary Protection [CUI Data],"Monitor, control, and protect organizational communications (i.e., information transmitted or received by organizational information systems) at the external boundaries and key internal boundaries of the information systems.",NIST SP 800-171 Rev 2 3.13.1; FAR Clause 52.204-21 b.1.x
SYSTEM AND COMMUNICATIONS PROTECTION (SC),2,SC.L2-3.13.10,Key Management,Establish and manage cryptographic keys for cryptography employed in organizational systems.,NIST SP 800-171 Rev 2 3.13.10
SYSTEM AND COMMUNICATIONS PROTECTION (SC),2,SC.L2-3.13.11,CUI Encryption,Employ FIPS-validated cryptography when used to protect the confidentiality of CUI.,NIST SP 800-171 Rev 2 3.13.11
SYSTEM AND COMMUNICATIONS PROTECTION (SC),2,SC.L2-3.13.12,Collaborative Device Control,Prohibit remote activation of collaborative computing devices and provide indication of devices in use to users present at the device.,NIST SP 800-171 Rev 2 3.13.12
SYSTEM AND COMMUNICATIONS PROTECTION (SC),2,SC.L2-3.13.13,Mobile Code,Control and monitor the use of mobile code.,NIST SP 800-171 Rev 2 3.13.13
SYSTEM AND COMMUNICATIONS PROTECTION (SC),2,SC.L2-3.13.14,Voice over Internet Protocol,Control and monitor the use of Voice over Internet Protocol (VoIP) technologies.,NIST SP 800-171 Rev 2 3.13.14
SYSTEM AND COMMUNICATIONS PROTECTION (SC),2,SC.L2-3.13.15,Communications Authenticity,Protect the authenticity of communications sessions.,NIST SP 800-171 Rev 2 3.13.15
SYSTEM AND COMMUNICATIONS PROTECTION (SC),2,SC.L2-3.13.16,Data at Rest,Protect the confidentiality of CUI at rest.,NIST SP 800-171 Rev 2 3.13.16
SYSTEM AND COMMUNICATIONS PROTECTION (SC),2,SC.L2-3.13.2,Security Engineering,"Employ architectural designs, software development techniques, and systems engineering principles that promote effective information security within organizational systems.",NIST SP 800-171 Rev 2 3.13.2
SYSTEM AND COMMUNICATIONS PROTECTION (SC),2,SC.L2-3.13.3,Role Separation,Separate user functionality from system management functionality.,NIST SP 800-171 Rev 2 3.13.3
SYSTEM AND COMMUNICATIONS PROTECTION (SC),2,SC.L2-3.13.4,Shared Resource Control,Prevent unauthorized and unintended information transfer via shared system resources.,NIST SP 800-171 Rev 2 3.13.4
SYSTEM AND COMMUNICATIONS PROTECTION (SC),2,SC.L2-3.13.5,Public-Access System Separation [CUI Data],Implement subnetworks for publicly accessible system components that are physically or logically separated from internal networks.,NIST SP 800-171 Rev 2 3.13.5; FAR Clause 52.204-21 b.1.xi
SYSTEM AND COMMUNICATIONS PROTECTION (SC),2,SC.L2-3.13.6,Network Communication by Exception,"Deny network communications traffic by default and allow network communications traffic by exception (i.e., deny all, permit by exception).",NIST SP 800-171 Rev 2 3.13.6
SYSTEM AND COMMUNICATIONS PROTECTION (SC),2,SC.L2-3.13.7,Split Tunneling,"Prevent remote devices from simultaneously establishing non-remote connections with organizational systems and communicating via some other connection to resources in external networks (i.e., split tunneling).",NIST SP 800-171 Rev 2 3.13.7
SYSTEM AND COMMUNICATIONS PROTECTION (SC),2,SC.L2-3.13.8,Data in Transit,Implement cryptographic mechanisms to prevent unauthorized disclosure of CUI during transmission unless otherwise protected by alternative physical safeguards.,NIST SP 800-171 Rev 2 3.13.8
SYSTEM AND COMMUNICATIONS PROTECTION (SC),2,SC.L2-3.13.9,Connections Termination,Terminate network connections associated with communications sessions at the end of the sessions or after a defined period of inactivity.,NIST SP 800-171 Rev 2 3.13.9
SYSTEM AND COMMUNICATIONS PROTECTION (SC),3,SC.L3-3.13.4e,Isolation,Employ physical isolation techniques or logical isolation techniques or both in organizational systems and system components.,NIST SP 800-172 3.13.4e
SYSTEM AND INFORMATION INTEGRITY (SI),1,SI.L1-b.1.xii,Flaw Remediation [FCI Data],"Identify, report, and correct information and information system flaws in a timely manner.",FAR Clause 52.204-21 b.1.xii; NIST SP 800-171 Rev 2 3.14.1
SYSTEM AND INFORMATION INTEGRITY (SI),1,SI.L1-b.1.xiii,Malicious Code Protection [FCI Data],Provide protection from malicious code at appropriate locations within organizational information systems.,FAR Clause 52.204-21 b.1.xiii; NIST SP 800-171 Rev 2 3.14.2
SYSTEM AND INFORMATION INTEGRITY (SI),1,SI.L1-b.1.xiv,Update Malicious Code Protection [FCI Data],Update malicious code protection mechanisms when new releases are available.,FAR Clause 52.204-21 b.1.xiv; NIST SP 800-171 Rev 2 3.14.4
SYSTEM AND INFORMATION INTEGRITY (SI),1,SI.L1-b.1.xv,System & File Scanning [FCI Data],"Perform periodic scans of the information system and real-time scans of files from external sources as files are downloaded, opened, or executed.",FAR Clause 52.204-21 b.1.xv; NIST SP 800-171 Rev 2 3.14.5
SYSTEM AND INFORMATION INTEGRITY (SI),2,SI.L2-3.14.1,Flaw Remediation [CUI Data],"Identify, report, and correct system flaws in a timely manner.",NIST SP 800-171 Rev 2 3.14.1; FAR Clause 52.204-21 b.1.xii
SYSTEM AND INFORMATION INTEGRITY (SI),2,SI.L2-3.14.2,Malicious Code Protection [CUI Data],Provide protection from malicious code at designated locations within organizational systems.,NIST SP 800-171 Rev 2 3.14.2; FAR Clause 52.204-21 b.1.xiii
SYSTEM AND INFORMATION INTEGRITY (SI),2,SI.L2-3.14.3,Security Alerts & Advisories,Monitor system security alerts and advisories and take action in response.,NIST SP 800-171 Rev 2 3.14.3
SYSTEM AND INFORMATION INTEGRITY (SI),2,SI.L2-3.14.4,Update Malicious Code Protection [CUI Data],Update malicious code protection mechanisms when new releases are available.,NIST SP 800-171 Rev 2 3.14.4; FAR Clause 52.204-21 b.1.xiv
SYSTEM AND INFORMATION INTEGRITY (SI),2,SI.L2-3.14.5,System & File Scanning [CUI Data],"Perform periodic scans of organizational systems and real-time scans of files from external sources as files are downloaded, opened, or executed.",NIST SP 800-171 Rev 2 3.14.5; FAR Clause 52.204-21 b.1.xv
SYSTEM AND INFORMATION INTEGRITY (SI),2,SI.L2-3.14.6,Monitor Communications for Attacks,"Monitor organizational systems, including inbound and outbound communications traffic, to detect attacks and indicators of potential attacks.",NIST SP 800-171 Rev 2 3.14.6
SYSTEM AND INFORMATION INTEGRITY (SI),2,SI.L2-3.14.7,Identify Unauthorized Use,Identify unauthorized use of organizational systems.,NIST SP 800-171 Rev 2 3.14.7
SYSTEM AND INFORMATION INTEGRITY (SI),3,SI.L3-3.14.1e,Integrity Verification,Verify the integrity of security critical and essential software using root of trust mechanisms or cryptographic signatures.,NIST SP 800-172 3.14.1e
SYSTEM AND INFORMATION INTEGRITY (SI),3,SI.L3-3.14.3e,Specialized Asset Security,"Include specialized assets such as IoT, IIoT, OT, GFE, Restricted Information Systems and test equipment in the scope of the specified enhanced security requirements or are segregated in purpose-specific networks.",NIST SP 800-172 3.14.3e
SYSTEM AND INFORMATION INTEGRITY (SI),3,SI.L3-3.14.6e,Threat-Guided Intrusion Detection,"Use threat indicator information and effective mitigations obtained from, at a minimum, open or commercial sources, and any DoD-provided sources, to guide and inform intrusion detection and threat hunting.",NIST SP 800-172 3.14.6e